,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
136,ahok t was was hadap,1,0,1,0,0,0,0,0,1,1,0,0
137,sul te ekses akibat ter ndera huta cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0
138,6 pride yunani xe1 xcf xce xcf xce xcf xce xce xce xce hyper xc4 x93phania kea kuhan harga kesombo an kenal deh an hubris vanity harga ti ubah manusia sombo kesombo an manusia kutuk mata tuhan manusia cinta dirin,0,0,0,0,0,0,0,0,0,0,0,0
139,be an tuju hati logika hati tena be an logika hati sedih ku cari wasiat beliau ti galkan terasi asi mata manusia duhai,0,0,0,0,0,0,0,0,0,0,0,0
140,han kura be aji komisi berantas korupsi era era komitmen beranta korupsi surat pemberitahuan era susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
141,admin tolol ai tolol ai tolol tolol,1,1,0,1,0,0,0,0,1,0,1,0
142,ayu ti ti go hot raffi ahmad nagita slavina k an no,0,1,0,0,0,0,0,0,0,0,0,0
143,video tenaga kerja asing malaysia me utip pern taan,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp an buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi pagi nya erin meja kerja nan pakai bedak biar mu ber istri butek soaln nih in ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
146,gue k ret,0,1,0,0,0,0,0,0,0,0,0,0
147,memek lonte pe sodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi mundur tutup,1,0,1,0,0,0,0,0,1,1,0,0
149,omo mulut sepe i banci beli kaca lihat bro,1,1,1,0,0,0,0,1,0,1,0,0
150,amin racist nada nada ratna sih paiiit nada sih onta nada sih loba anus j an takut oi oi nkehabi obat penena ya,1,1,1,0,0,0,0,0,1,1,0,0
151,gu komando imam bejat cabul tai bir bawa ulama r banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet beranta pecah belah tuan han rezim,1,0,0,1,0,0,0,0,1,0,1,0
153,ih pintar politik aca oi t a k xc3 xa6k bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0
154,partai demokrasi indonesia juang anmena deh an tekan peru haan tamba target proyek impossible lela murah antek cina ntb contoh partai demokrasi indonesia juang mena r baji an,1,1,0,1,0,0,0,0,1,0,1,0
155,ca mulut bua mu bawa,1,1,1,0,0,0,0,0,1,1,0,0
156,2019 susilo bambang yudhoyono prabowo men lawan mega jokowi peristiwa 2004 terula partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden sele i 3 poros pilih presiden mk lawan,0,0,0,0,0,0,0,0,0,0,0,0
157,an kakak k banci kali gatot seri gaduh gentleman mundur ber i pilih presiden 2019 lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal,0,0,0,0,0,0,0,0,0,0,0,0
159,5 te hir indonesia negara deh an populasi muslim terbe r dunia islam at rupa musuh barat komunis me hambat agenda kepenti an obviously,0,0,0,0,0,0,0,0,0,0,0,0
160,umuh persib persib kunyuk,1,1,0,1,0,0,0,0,1,0,1,0
161,film muslim pilih ahok mati salat jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
162,banu banu hudi beda banu banu kristen suriah beda banu hudi pakai eloah elohim hwe seda suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
163,eh muka merah merah cendol setan cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0
164,berita racen diframi katak tim prabowo anies seberuln media tumpah kit hati katak cebo ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah ombi rabu 11 april 2018 laksana mbak deh tatap muka monitor aman tertib masyarakat tuju pilih kepala daerah 2018 deh lobusiregar i tepatn rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,sayang banget eliat perempuan kayak status tempel laki laki na aduh nagita slavina blak blak ayu ti ti k an viva,0,1,0,0,0,0,0,0,0,0,0,0
167,lupa kakak umat katolik minoritas perhati gubernur golo an golo an,0,0,0,0,0,0,0,0,0,0,0,0
168,cebo in kemarin eyel situ mak cebo,1,1,1,0,0,0,0,0,1,1,0,0
169,lemah gerindra prabowo turun elektabilitasn co orang fadli zon surat pemberitahuan durno,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat kakak kali dira maknan kali,0,0,0,0,0,0,0,0,0,0,0,0
171,foto mema bisu milik ban k a i susah ikan sepe i su h ikan putus,0,0,0,0,0,0,0,0,0,0,0,0
172,wkwk me alamin muncul grub wa a bani abdi had a k a mbah mek kenal,0,0,0,0,0,0,0,0,0,0,0,0
173,ayah pres badar nuqaba pli boekkk nih hebat bida agama x takut natural killer tegur member lawak hambar pli i t lawak orang jom ge ge badan chubby,0,0,0,0,0,0,0,0,0,0,0,0
174,seora anak pekan me ilham r ekonomi deb pe ge utama maju ekonomi bandar beliau allah rham tun abdul razak ds malaysia pilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
175,haha sialaaan nih sih tern ta lapar presiden sikat,0,0,0,0,0,0,0,0,0,0,0,0
176,nasihat kali supa ugal ugalan nih rezim eh negeri keburu hancur ekonomi moral meni kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
177,alah silit kebelet kasihan orang media sosial gue dar seitan i kemarin gue cerita duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
178,cacat,0,0,0,0,0,0,0,0,0,0,0,0
179,2019 t makan aspal beton solusi jitu me ura i miskin ahli cebo han 1 tuka tipu cebo goblok tulu an plo a plo o me akibat optimisme 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0
180,baca harun h belot kubu hudi freemason kadang suka perca,0,0,0,0,0,0,0,0,0,0,0,0
181,maju ber ulama berge ber tokoh agama indonesia gus mus,0,0,0,0,0,0,0,0,0,0,0,0
182,,0,0,0,0,0,0,0,0,0,0,0,0
183,mukidi percaya pe an an mudah keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0
184,kemarin hujat kara me harap r bani k rey,1,1,0,1,0,0,0,0,1,0,1,0
185,fitnah sila ban apollinaris darmawan al alquran kitab sih ah,1,1,0,1,1,0,0,0,0,0,1,0
186,monyet koloe dbila udra ti ogah hidup hati comberan,1,1,1,0,0,0,0,0,1,1,0,0
187,body lufra scrub bahan r lidah bua melembabkan kulit bcaha info 087812026394 body mass indeks,0,0,0,0,0,0,0,0,0,0,0,0
188,cacat berma,0,0,0,0,0,0,0,0,0,0,0,0
189,an2 pe anut bumi datar nsoaln teori bumi bulat asi notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
190,becak warga binjai sita tenda be uliskan 2019 ganti presiden partai adil sejahtera bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
191,jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
192,musyawarah nasional alim ulama ppp semara me hasil rekomendasi sih rat kriteria kriteria calon wakil presiden mend i i jokowi 2019 data romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
193,bia cerah mera gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
194,kafan bera l buda hudi umat islam me klaim,0,0,0,0,0,0,0,0,0,0,0,0
195,rezim kendali negara cina komunis patron gal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
196,tanda pilih kepala daerah pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0
197,misi 4 memba uji nasional mas at goto royo toleran harmoni selaras nilai buda jawa barat luhur nomor jawa barat asyik asyikm3na,0,0,0,0,0,0,0,0,0,0,0,0
198,tabah a an taufik puan na wajar contoh jom sumba an meri ankan beban a an come on twitter do your thi sih badan standar nasional 0510541000096745 bank islam 05058020145124 na bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
199,sih tai doa belagun it i et karma idol flop gue tertawa pali keras,1,1,1,0,0,0,0,0,1,1,0,0
200,cele kangen gue iya,0,1,0,0,0,0,0,0,0,0,0,0
201,tera inegeri deh an buda yuk unjung purwoke o mumpu even t purwoke o ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0,0,0,0
202,presiden dana taktis bi me kepenti an tn program program perintah program ban k pemba unan infrastruktur kip kartu indonesia sehat ifikat tanah hutan sosial bahan bakar minyak 1 harga padat kar,0,0,0,0,0,0,0,0,0,0,0,0
203,amin allah ntimn sih ai latih ular rawa rawa dapatn su ai gede musuhn bua wkwk,0,0,0,0,0,0,0,0,0,0,0,0
204,maju atain mama bolot,1,1,1,0,0,0,0,0,1,1,0,0
205,gerombol kadal jidat goso sukan ribut gerombol pura pura budek r gerombol ci,1,1,0,1,0,0,1,0,0,0,1,0
206,gentarn takut hadap kafir,0,0,0,0,0,0,0,0,0,0,0,0
207,racen hina akun kritis gap racen aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
208,bego teman gue najis kesal,1,1,1,0,0,0,0,0,1,1,0,0
209,kafir kristen ulah,1,1,0,1,1,0,0,0,0,0,1,0
210,tau do bau baun cir sipit buluk,1,1,1,0,0,1,0,0,0,1,0,0
211,kakak k mega mucikari,0,0,0,0,0,0,0,0,0,0,0,0
212,guru tk darma wanita tuan deh plumbon poro deklarasi anti hoaks benci isu rah mendu pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
213,anjir seram maenn,0,1,0,0,0,0,0,0,0,0,0,0
214,kakak bi bank te entu jual ua asi tukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
215,onta man nih gue depo asi,1,1,1,0,0,0,0,0,1,0,0,1
216,hati hati berita pilih kepala daerah bau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunju i,0,0,0,0,0,0,0,0,0,0,0,0
217,anak cocot,1,1,1,0,0,0,0,0,1,1,0,0
218,x88udah hoaks fahri kanye ambil berita tuyg an to sih ah ambil screenshoot berita,1,0,1,0,0,0,0,0,1,1,0,0
219,mantap direct message baris serba ba,0,0,0,0,0,0,0,0,0,0,0,0
220,tern ta lebah suka bu a makan ba gue pena ran madu kakak,0,0,0,0,0,0,0,0,0,0,0,0
221,indonesia mundur bentuk,1,0,1,0,0,0,0,0,1,1,0,0
222,do o hacker haha,0,1,0,0,0,0,0,0,0,0,0,0
223,haha blunder cebo a protein energy malnutrition t deh an ala ham t aceh kali coba data i perintah suruh hukum islam kaffah aceh dewan wakil rakyat a,1,1,1,0,0,0,0,0,1,1,0,0
224,ba gue selam e 1,0,1,0,0,0,0,0,0,0,0,0,0
225,bi panci panci uru nista han bicara paham fiksi kitab suci,0,0,0,0,0,0,0,0,0,0,0,0
226,cebo kacu teman gue du uji nasional sih e tula sumsum bua 2 energi debat,1,1,0,1,0,0,0,0,1,0,1,0
227,ai korupsi pi goblok,1,1,0,1,0,0,0,0,1,0,1,0
228,sinyal kontol pelihara niat login twitter doang su h open redtube setan,1,1,0,1,0,0,0,1,0,0,1,0
229,mata kafir wkwk,0,0,0,0,0,0,0,0,0,0,0,0
230,i et facebook anjir lupa,0,1,0,0,0,0,0,0,0,0,0,0
231,ai alah kontol,0,1,0,0,0,0,0,0,0,0,0,0
232,nikita mirzani pakai hijab omo ceba cebo fantasi uh ah cokorers,1,1,1,0,0,0,0,0,1,1,0,0
233,tatapann alih arah e juragan tatap pria curiga pe kali gaduh sua na a ie temu seora pria asi tidur sofan sepe i,0,0,0,0,0,0,0,0,0,0,0,0
234,lahir berkemba ge an komunis indonesia dipi hkan buah organ sih nama indische sociaal democratische vereeniging,0,0,0,0,0,0,0,0,0,0,0,0
235,shaheizy wajah baharu calpis,0,0,0,0,0,0,0,0,0,0,0,0
236,serah balasn fokus kerja me erjakan tugas proyek seni buda han 2 setelahn su kumpul presentasi syukur nilain muas proyek,0,0,0,0,0,0,0,0,0,0,0,0
237,bro,0,0,0,0,0,0,0,0,0,0,0,0
238,laku bodoh masuk kategori sena laku sontoloyo at me a gu tuan ba laku naif su bentuk intimidasi hadap ulama laku,1,1,1,0,0,0,0,0,1,1,0,0
239,monyet turun mukim warga cibadak sukabumi,0,0,0,0,0,0,0,0,0,0,0,0
240,kotor penti bahagia wargan cebo e i,1,1,0,1,0,0,0,0,1,0,1,0
241,giveaway taplak meja mena the rich chenle,0,0,0,0,0,0,0,0,0,0,0,0
